# Constructed from biom file
#OTU ID	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C4	C5	NTC	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P3	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S3	S4	S5
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;__	6.0	18.0	16.0	29.0	15.0	10.0	27.0	17.0	20.0	40.0	78.0	81.0	92.0	0.0	8.0	9.0	22.0	58.0	18.0	103.0	22.0	16.0	58.0	77.0	96.0	18.0	59.0	62.0	52.0	72.0	99.0	78.0	176.0	139.0	83.0	68.0	92.0	143.0	13.0	52.0	27.0	47.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;__;__;__	53.0	58.0	53.0	189.0	63.0	152.0	136.0	85.0	953.0	215.0	354.0	406.0	388.0	0.0	391.0	105.0	113.0	274.0	122.0	601.0	282.0	586.0	245.0	554.0	373.0	329.0	191.0	861.0	512.0	428.0	421.0	320.0	629.0	479.0	847.0	624.0	367.0	392.0	58.0	252.0	201.0	55.0	114.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;__;__	28.0	29.0	9.0	10.0	17.0	37.0	28.0	21.0	37.0	171.0	232.0	278.0	243.0	0.0	16.0	18.0	23.0	52.0	47.0	359.0	85.0	77.0	161.0	283.0	419.0	32.0	193.0	322.0	270.0	142.0	152.0	251.0	274.0	361.0	382.0	321.0	229.0	314.0	25.0	22.0	20.0	28.0	8.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	655.0	480.0	526.0	647.0	727.0	753.0	576.0	641.0	1163.0	529.0	2088.0	571.0	736.0	0.0	654.0	1025.0	753.0	1100.0	818.0	676.0	988.0	945.0	689.0	1119.0	918.0	1202.0	494.0	898.0	719.0	769.0	593.0	813.0	894.0	673.0	837.0	646.0	665.0	723.0	704.0	1086.0	526.0	812.0	243.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Toxicocladosporium	72.0	136.0	39.0	137.0	90.0	105.0	123.0	158.0	263.0	8.0	25.0	13.0	22.0	0.0	85.0	47.0	59.0	196.0	160.0	26.0	162.0	129.0	0.0	3.0	4.0	237.0	23.0	17.0	0.0	6.0	42.0	25.0	14.0	11.0	60.0	4.0	16.0	16.0	59.0	145.0	74.0	180.0	42.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis	143.0	40.0	8.0	108.0	71.0	47.0	75.0	37.0	300.0	7.0	2.0	5.0	25.0	0.0	114.0	42.0	32.0	141.0	116.0	6.0	132.0	78.0	12.0	10.0	21.0	90.0	25.0	7.0	0.0	10.0	9.0	0.0	36.0	20.0	13.0	17.0	5.0	8.0	181.0	111.0	75.0	79.0	48.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__	41.0	4.0	46.0	35.0	30.0	25.0	266.0	1646.0	120.0	31.0	23.0	41.0	32.0	0.0	88.0	120.0	41.0	196.0	445.0	58.0	180.0	78.0	26.0	62.0	20.0	104.0	8.0	9.0	9.0	45.0	16.0	40.0	23.0	27.0	44.0	7.0	35.0	50.0	46.0	45.0	71.0	49.0	179.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;__;__	209.0	59.0	64.0	772.0	80.0	107.0	68.0	95.0	221.0	38.0	94.0	136.0	77.0	0.0	116.0	80.0	123.0	80.0	108.0	110.0	200.0	111.0	117.0	282.0	104.0	509.0	30.0	121.0	45.0	32.0	36.0	38.0	724.0	82.0	649.0	636.0	36.0	97.0	68.0	108.0	167.0	102.0	40.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscyphaceae_gen_Incertae_sedis	596.0	593.0	668.0	911.0	561.0	698.0	625.0	708.0	1796.0	3585.0	3986.0	3618.0	3580.0	0.0	797.0	1287.0	783.0	1104.0	1017.0	4665.0	1819.0	1355.0	3681.0	5273.0	6353.0	14019.0	3393.0	5458.0	3987.0	4559.0	4032.0	4008.0	5112.0	5507.0	4748.0	5225.0	4757.0	4784.0	866.0	961.0	854.0	821.0	394.0
