	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C4	C5	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P3	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S3	S4
C2	0.8341341614723206	0.8213103413581848	0.8412168622016907	0.8261573314666748	0.8212356567382812	0.8262004852294922	0.8284046053886414	0.823190450668335	0.8154523968696594	0.6673851609230042	0	0.6786713600158691	0.6660200357437134	0.8357589244842529	0.8383288979530334	0.8191103339195251	0.8242194652557373	0.8222891688346863	0.6601791977882385	0.8205117583274841	0.8300004601478577	0.6786498427391052	0.6791044473648071	0.6691260933876038	0.7960032820701599	0.665569543838501	0.6545626521110535	0.68760746717453	0.6605994701385498	0.6626162528991699	0.6564401388168335	0.6494240760803223	0.663190484046936	0.665921151638031	0.6728237867355347	0.6667158603668213	0.6707947254180908	0.8238126635551453	0.822559118270874	0.8161501884460449	0.8229307532310486
C4	0.8339533805847168	0.8276706337928772	0.8374171257019043	0.8276708126068115	0.8195133209228516	0.8340408205986023	0.8269913792610168	0.8359403014183044	0.8267951011657715	0.6655593514442444	0.6786713600158691	0	0.6804384589195251	0.8346498012542725	0.8299344182014465	0.8307875394821167	0.8351348042488098	0.836406946182251	0.663623034954071	0.8175370693206787	0.8252471089363098	0.6850358843803406	0.6827688813209534	0.6891610026359558	0.8000397682189941	0.6611976623535156	0.6584771275520325	0.6921815872192383	0.6578776836395264	0.6700837016105652	0.6584641337394714	0.6698695421218872	0.6697403192520142	0.6428354382514954	0.6902848482131958	0.6511455774307251	0.6678608655929565	0.8224743008613586	0.8244303464889526	0.8199907541275024	0.8322011828422546
C5	0.836836576461792	0.837126612663269	0.8299317955970764	0.8333391547203064	0.831113874912262	0.8352701663970947	0.8380479216575623	0.8312691450119019	0.8324670791625977	0.6664081811904907	0.6660200357437134	0.6804384589195251	0	0.8437699675559998	0.8375052213668823	0.8205485343933105	0.8337555527687073	0.8388826847076416	0.6635358929634094	0.8320637345314026	0.8434145450592041	0.6932570338249207	0.6795756220817566	0.6695536971092224	0.8035638928413391	0.6617894768714905	0.6753817200660706	0.6830771565437317	0.6490170359611511	0.6744620800018311	0.6453897356987	0.6592091917991638	0.6505845785140991	0.6434112191200256	0.6834434270858765	0.6534843444824219	0.6652714610099792	0.8290433287620544	0.8214040994644165	0.8165795803070068	0.8263167142868042
O1_1	0.6576409935951233	0.6770966649055481	0.6441009044647217	0.6676252484321594	0.6860829591751099	0.6529859304428101	0.6550459265708923	0.669367253780365	0.6695605516433716	0.8341158628463745	0.8357589244842529	0.8346498012542725	0.8437699675559998	0	0.6638827323913574	0.6827312707901001	0.6658899188041687	0.6439855098724365	0.8355283141136169	0.6513214111328125	0.6616080403327942	0.8388013243675232	0.8275755047798157	0.8344621658325195	0.6539223194122314	0.8278493881225586	0.8384798765182495	0.8330831527709961	0.8357120156288147	0.8324146866798401	0.8375204801559448	0.8295630216598511	0.827084481716156	0.8264396190643311	0.8315821290016174	0.8379083871841431	0.8269450068473816	0.6438580751419067	0.6606227159500122	0.658916711807251	0.6782652735710144
O2	0.6693278551101685	0.6554857492446899	0.6934292316436768	0.6664217710494995	0.6587133407592773	0.6500806212425232	0.6712580323219299	0.6601945161819458	0.6639482975006104	0.8323270678520203	0.8383288979530334	0.8299344182014465	0.8375052213668823	0.6638827323913574	0	0.675415575504303	0.6412866115570068	0.6382428407669067	0.8268535733222961	0.6769987940788269	0.6583082675933838	0.8422091007232666	0.8157843947410583	0.8400090932846069	0.6588804721832275	0.8316140174865723	0.8287380337715149	0.8277388215065002	0.8366274237632751	0.8252537250518799	0.8377039432525635	0.831440806388855	0.8295426964759827	0.8230583071708679	0.8175317645072937	0.8186497688293457	0.8196616768836975	0.6613003015518188	0.6464599370956421	0.6569796204566956	0.6668475270271301
O3	0.6543905735015869	0.6454702019691467	0.6515228152275085	0.6660328507423401	0.6773117184638977	0.6525393128395081	0.6566965579986572	0.6269609332084656	0.6496171951293945	0.8133572340011597	0.8191103339195251	0.8307875394821167	0.8205485343933105	0.6827312707901001	0.675415575504303	0	0.655769944190979	0.6653248071670532	0.8143260478973389	0.6440259218215942	0.6568483710289001	0.8250880241394043	0.8239752054214478	0.8307844400405884	0.6438710689544678	0.8274908661842346	0.8234538435935974	0.828162670135498	0.8181881904602051	0.8191816806793213	0.8240903615951538	0.8066730499267578	0.8169033527374268	0.8227710127830505	0.8181938529014587	0.8265749216079712	0.8039287328720093	0.6610704064369202	0.6594493389129639	0.6159391403198242	0.6435940861701965
O4	0.6583720445632935	0.647605836391449	0.6725940108299255	0.6504746079444885	0.6795627474784851	0.6564743518829346	0.642131507396698	0.6334980726242065	0.6456344127655029	0.8156051635742188	0.8242194652557373	0.8351348042488098	0.8337555527687073	0.6658899188041687	0.6412866115570068	0.655769944190979	0	0.6417497396469116	0.8213406205177307	0.6406916379928589	0.6492311358451843	0.8458998799324036	0.8140709400177002	0.836671769618988	0.6338081955909729	0.828997790813446	0.8225734829902649	0.823139488697052	0.8337057828903198	0.8304222226142883	0.8289111256599426	0.8210700154304504	0.8245287537574768	0.8146832585334778	0.8185772895812988	0.8231654763221741	0.8212389945983887	0.6552621126174927	0.6578085422515869	0.6183437705039978	0.6616899967193604
O5	0.6425238847732544	0.6762827634811401	0.6505821347236633	0.6423114538192749	0.6365583539009094	0.657548189163208	0.6234310865402222	0.6264058351516724	0.6280460357666016	0.8116077184677124	0.8222891688346863	0.836406946182251	0.8388826847076416	0.6439855098724365	0.6382428407669067	0.6653248071670532	0.6417497396469116	0	0.8167555332183838	0.6562837958335876	0.660102367401123	0.8332188129425049	0.8167257308959961	0.8317887187004089	0.6321609020233154	0.8289920091629028	0.8217095732688904	0.8249683976173401	0.821687638759613	0.8147481679916382	0.8255326151847839	0.8225052356719971	0.8263478875160217	0.8217240571975708	0.8102766275405884	0.8232704997062683	0.8093302249908447	0.6265690326690674	0.6327463388442993	0.6296812295913696	0.6485953330993652
O6	0.8237221837043762	0.8122075200080872	0.8105395436286926	0.8241934776306152	0.8070916533470154	0.8222470283508301	0.8203862309455872	0.8199833631515503	0.8202426433563232	0.636909008026123	0.6601791977882385	0.663623034954071	0.6635358929634094	0.8355283141136169	0.8268535733222961	0.8143260478973389	0.8213406205177307	0.8167555332183838	0	0.8138933181762695	0.8220444917678833	0.6631489992141724	0.6747615933418274	0.6745544672012329	0.7838153839111328	0.6664324402809143	0.6489163637161255	0.7043284177780151	0.661594033241272	0.6544666886329651	0.6278152465820312	0.6628714799880981	0.6405469179153442	0.6386624574661255	0.6555662155151367	0.671314001083374	0.6580395102500916	0.8147534132003784	0.822612464427948	0.8002045750617981	0.8267258405685425
O7	0.6543112397193909	0.6816090941429138	0.6533399224281311	0.6512163281440735	0.6656387448310852	0.6659829616546631	0.650886595249176	0.6463431715965271	0.6576530933380127	0.8112602233886719	0.8205117583274841	0.8175370693206787	0.8320637345314026	0.6513214111328125	0.6769987940788269	0.6440259218215942	0.6406916379928589	0.6562837958335876	0.8138933181762695	0	0.6589486002922058	0.8241479992866516	0.819536566734314	0.8222528696060181	0.6281726956367493	0.8115071058273315	0.8124844431877136	0.8259512782096863	0.8219725489616394	0.8155380487442017	0.8155522346496582	0.8161386251449585	0.8167757391929626	0.8043546676635742	0.8100336194038391	0.8217172026634216	0.8011801838874817	0.6537331342697144	0.6604969501495361	0.6529636383056641	0.6625648140907288
