	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S4	S5
C2	0.1055831238627434	0.1064545661211014	0.1061163321137428	0.1052216291427612	0.1054983213543892	0.1123283803462982	0.1118215098977089	0.107067309319973	0.1071444898843765	0.0261598639190197	0	0.0222440417855978	0.02533316984772682	0.02826019562780857	0.1067970097064972	0.1079290881752968	0.1090012565255165	0.1042187884449959	0.1038957014679909	0.03382749855518341	0.1014730408787727	0.1083516553044319	0.03212283179163933	0.03678539767861366	0.1111567988991737	0.03195854648947716	0.02929705195128918	0.03326200693845749	0.03482810407876968	0.02728803083300591	0.02996984496712685	0.02586553804576397	0.0353391245007515	0.02633988298475742	0.04700689390301704	0.02891186811029911	0.0251742098480463	0.1065255180001259	0.1097865700721741	0.1097369790077209	0.1029016822576523
C3	0.1051303744316101	0.1051798686385155	0.1044924110174179	0.1045872122049332	0.1048439666628838	0.1107105389237404	0.1104771867394447	0.1056498289108276	0.1054074764251709	0.02614906802773476	0.0222440417855978	0	0.02521811984479427	0.02682387642562389	0.1043063029646873	0.1063776239752769	0.1071619316935539	0.1024385392665863	0.102354995906353	0.03097929619252682	0.1005966365337372	0.1077377125620842	0.03094112128019333	0.03207943588495255	0.1096572428941727	0.03229901939630508	0.02657551690936089	0.02963182702660561	0.03296975046396255	0.02688109688460827	0.02761584892868996	0.02367116697132587	0.03228460624814034	0.02328528091311455	0.04354771226644516	0.02748060971498489	0.02495099231600761	0.1062693074345589	0.1094625070691109	0.1086985766887665	0.1014464721083641
C4	0.1088767200708389	0.1095748096704483	0.1093192845582962	0.1081317812204361	0.1079558432102203	0.1141436100006104	0.1150194928050041	0.1093165650963783	0.1095442101359367	0.02511893399059772	0.02533316984772682	0.02521811984479427	0	0.02611749432981014	0.1082750782370567	0.1104042232036591	0.111214816570282	0.1055213585495949	0.1065496578812599	0.03609148412942886	0.1042977124452591	0.1114117652177811	0.02767716348171234	0.03458298742771149	0.1146157905459404	0.02553610131144524	0.0256691537797451	0.0369735024869442	0.03060603141784668	0.02367934957146645	0.02591695263981819	0.02618017047643661	0.02972350642085075	0.02594843693077564	0.04113911837339401	0.02725594863295555	0.02582166530191898	0.1093420311808586	0.1129225194454193	0.1124104559421539	0.1048988178372383
C5	0.108784519135952	0.1099340841174126	0.1085646972060204	0.1078758761286736	0.1079802662134171	0.1138602718710899	0.1144027709960938	0.1089082956314087	0.1101492121815681	0.02649321779608727	0.02826019562780857	0.02682387642562389	0.02611749432981014	0	0.1081096455454826	0.1095163449645042	0.1105919033288956	0.1067409813404083	0.1071324124932289	0.03546620532870293	0.1048829853534698	0.1107925698161125	0.02993349172174931	0.03311121836304665	0.1150534003973007	0.03100098483264446	0.02547690831124783	0.03450393304228783	0.03331615030765533	0.0262947641313076	0.03031742386519909	0.02823767624795437	0.03084799088537693	0.02706426382064819	0.04283609986305237	0.02913449704647064	0.02526401728391647	0.1096752658486366	0.1118015646934509	0.11265729367733	0.1061070710420609
O1_1	0.03531941398978233	0.02617857605218887	0.02837493270635605	0.02889920771121979	0.0283567663282156	0.02686670795083046	0.0289804320782423	0.02727912366390228	0.0242042001336813	0.1044801101088524	0.1067970097064972	0.1043063029646873	0.1082750782370567	0.1081096455454826	0	0.03553984686732292	0.0302604790776968	0.02846649847924709	0.03028915077447891	0.107845775783062	0.02969035878777504	0.02859779261052608	0.1104366853833199	0.1052464097738266	0.02834462560713291	0.1126615926623344	0.1080809161067009	0.1029095500707626	0.1106374934315681	0.1068149954080582	0.1093121096491814	0.1066592782735825	0.1104593575000763	0.1043700948357582	0.1190911680459976	0.1095506325364113	0.1035187765955925	0.02823246642947197	0.03048190101981163	0.0305471159517765	0.0282883495092392
O2	0.03178488835692406	0.03508371859788895	0.0311330147087574	0.03119883686304092	0.03800689429044724	0.03857346996665001	0.04078232124447823	0.03427936136722565	0.03457316756248474	0.1047995239496231	0.1079290881752968	0.1063776239752769	0.1104042232036591	0.1095163449645042	0.03553984686732292	0	0.04079186543822289	0.0288343857973814	0.04471553862094879	0.110933393239975	0.040349081158638	0.03376083448529243	0.1105889901518822	0.1075106337666512	0.03934335708618164	0.1121746599674225	0.1085239723324776	0.1053775027394295	0.1106089875102043	0.1098190397024155	0.1106966733932495	0.1096001863479614	0.1113563403487206	0.1079175695776939	0.1158712208271027	0.1079491451382637	0.1065756753087044	0.03526216372847557	0.04047743603587151	0.04055149108171463	0.0309925265610218
O3	0.03644672036170959	0.02257473953068256	0.02587741985917091	0.03066909499466419	0.02488970756530762	0.02894815243780613	0.02703827433288097	0.02726063504815102	0.02444534935057163	0.1080882102251053	0.1090012565255165	0.1071619316935539	0.111214816570282	0.1105919033288956	0.0302604790776968	0.04079186543822289	0	0.03302285075187683	0.03531070426106453	0.1113961264491081	0.03182926401495934	0.02906934916973114	0.1149040386080742	0.1098796278238297	0.02814655937254429	0.1165647059679031	0.1107953563332558	0.1071344986557961	0.1147414743900299	0.1102190017700195	0.1135760992765427	0.110044464468956	0.1141425222158432	0.1071828529238701	0.1235726773738861	0.112239234149456	0.1060191839933395	0.02871867083013058	0.02589542977511883	0.02906235493719578	0.0315556488931179
O4	0.02864382788538933	0.02811113744974136	0.02842885069549084	0.02506271004676819	0.02955554239451885	0.02950487658381462	0.03268001228570938	0.02565423026680946	0.02587768621742725	0.1006001532077789	0.1042187884449959	0.1024385392665863	0.1055213585495949	0.1067409813404083	0.02846649847924709	0.0288343857973814	0.03302285075187683	0	0.03386009484529495	0.106642983853817	0.03179140016436577	0.02791505306959152	0.1072716861963272	0.1043145135045052	0.03087958693504333	0.1084648370742798	0.10529825091362	0.1024801954627037	0.1071531996130943	0.1046982109546661	0.1066014468669891	0.1054691299796104	0.1074381917715073	0.1029313877224922	0.1152972280979156	0.10578403621912	0.1020742505788803	0.02939092181622982	0.03311358764767647	0.03326762095093727	0.02269361726939678
O5	0.03880849853157997	0.03176384791731834	0.03515321016311646	0.03684092685580254	0.03227907046675682	0.0306819099932909	0.03092747367918491	0.03315882384777069	0.02805658616125584	0.1035274192690849	0.1038957014679909	0.102354995906353	0.1065496578812599	0.1071324124932289	0.03028915077447891	0.04471553862094879	0.03531070426106453	0.03386009484529495	0	0.1059499159455299	0.0247668232768774	0.03460997343063354	0.1101233139634132	0.1043700501322746	0.02903464622795582	0.1116634458303452	0.106949582695961	0.1014509275555611	0.110562726855278	0.1054685786366463	0.1083602011203766	0.1044486984610558	0.109947182238102	0.1033692583441734	0.1193395406007767	0.107929065823555	0.1015221998095512	0.02915267646312714	0.03172662481665611	0.0288492739200592	0.03500388190150261
O6	0.1106786504387856	0.1098183766007423	0.1085102558135986	0.1077456176280975	0.1094739213585854	0.1147566586732864	0.1145345866680145	0.1099528968334198	0.1102294325828552	0.0386587493121624	0.03382749855518341	0.03097929619252682	0.03609148412942886	0.03546620532870293	0.107845775783062	0.110933393239975	0.1113961264491081	0.106642983853817	0.1059499159455299	0	0.1042015701532364	0.1127759218215942	0.03769739717245102	0.03767614439129829	0.1123227030038834	0.04233529791235924	0.03340457752346992	0.0364581011235714	0.04108534753322601	0.03724351897835732	0.03761743009090424	0.03310630470514297	0.03768038749694824	0.03223518654704094	0.05153963342308998	0.03834118694067001	0.03397642076015472	0.1111251190304756	0.1137962192296982	0.1130180656909943	0.1058044582605362
