	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S4	S5
C2	0.7827476859092712	0.773800253868103	0.7657078504562378	0.8006256818771362	0.7919673919677734	0.800378680229187	0.792270302772522	0.7961786985397339	0.800707221031189	0.6957311630249023	0	0.6772363185882568	0.68764328956604	0.6942079067230225	0.8021309375762939	0.789783775806427	0.7884736657142639	0.7837350368499756	0.8098755478858948	0.6858890056610107	0.784932017326355	0.7981424927711487	0.6901019215583801	0.7022194266319275	0.7858620285987854	0.7060899138450623	0.7120228409767151	0.7026284337043762	0.7043256759643555	0.6831622719764709	0.6936438679695129	0.6818466186523438	0.7004671692848206	0.6941590905189514	0.6950471997261047	0.6900361180305481	0.685712456703186	0.7845563292503357	0.7777248024940491	0.7860487103462219	0.7848318815231323
C3	0.7737742066383362	0.766295313835144	0.7571299076080322	0.7916064858436584	0.7651110887527466	0.7884393930435181	0.7783796191215515	0.7832534909248352	0.7801571488380432	0.6619168519973755	0.6772363185882568	0	0.6661616563796997	0.6675505042076111	0.7893720269203186	0.7806429266929626	0.7682137489318848	0.7694764733314514	0.7901385426521301	0.6621910929679871	0.7788171172142029	0.7985855937004089	0.6803470849990845	0.6812227368354797	0.768765926361084	0.6765350699424744	0.6664896011352539	0.6854876279830933	0.6832746863365173	0.6659108400344849	0.659187912940979	0.6583837270736694	0.6683775782585144	0.6550189852714539	0.6640810966491699	0.6675795316696167	0.6734522581100464	0.7887694835662842	0.7822827696800232	0.7866436243057251	0.777252197265625
C4	0.7836933732032776	0.780742347240448	0.7818866968154907	0.7864996790885925	0.7831557989120483	0.7924720644950867	0.7990029454231262	0.7979556918144226	0.784784197807312	0.6965446472167969	0.68764328956604	0.6661616563796997	0	0.6826547384262085	0.8006105422973633	0.7835316061973572	0.7742992639541626	0.7782129049301147	0.800096333026886	0.6595622897148132	0.7890265583992004	0.7825140357017517	0.6825402975082397	0.6778414249420166	0.7839064598083496	0.6711100935935974	0.6787763237953186	0.6850385665893555	0.6725772023200989	0.6754087805747986	0.6803292632102966	0.6739096641540527	0.6731338500976562	0.6574492454528809	0.688479483127594	0.6842079162597656	0.6659834384918213	0.7746246457099915	0.7791940569877625	0.7866077423095703	0.7869918346405029
C5	0.792518138885498	0.7806662917137146	0.7767281532287598	0.789459228515625	0.7767671346664429	0.795329749584198	0.7913008332252502	0.8009245991706848	0.7908929586410522	0.680628776550293	0.6942079067230225	0.6675505042076111	0.6826547384262085	0	0.7991460561752319	0.7861651182174683	0.7599225044250488	0.7766539454460144	0.8121295571327209	0.6717349290847778	0.7813509702682495	0.7851781845092773	0.6794198751449585	0.6917719841003418	0.7932448983192444	0.6669304966926575	0.6608813405036926	0.6761766672134399	0.6791989207267761	0.6848186254501343	0.6705383062362671	0.6777974963188171	0.6815418601036072	0.6487812995910645	0.7030834555625916	0.6572105288505554	0.6722196936607361	0.7975385785102844	0.7757312059402466	0.7950831651687622	0.7867906093597412
O1_1	0.7333526015281677	0.6925930380821228	0.7202228903770447	0.7305363416671753	0.7242206931114197	0.7027629017829895	0.7422229051589966	0.7277387976646423	0.7283843159675598	0.7943532466888428	0.8021309375762939	0.7893720269203186	0.8006105422973633	0.7991460561752319	0	0.7087840437889099	0.7079584002494812	0.722209632396698	0.711763858795166	0.7900004386901855	0.6976310014724731	0.7390488982200623	0.7964755892753601	0.8050356507301331	0.6975285410881042	0.7981690168380737	0.812263548374176	0.7933872938156128	0.806158185005188	0.7919896245002747	0.8025699257850647	0.7955564260482788	0.8015389442443848	0.7983376979827881	0.8088695406913757	0.8044602870941162	0.8080956935882568	0.7433537244796753	0.7289433479309082	0.7023773193359375	0.7288273572921753
O2	0.7077053785324097	0.6839781999588013	0.6869263648986816	0.7320142388343811	0.7057436108589172	0.71149080991745	0.7496505379676819	0.70915687084198	0.7139960527420044	0.7966683506965637	0.789783775806427	0.7806429266929626	0.7835316061973572	0.7861651182174683	0.7087840437889099	0	0.6940165162086487	0.6988517045974731	0.744767963886261	0.7975584864616394	0.7158380746841431	0.745374321937561	0.7966163158416748	0.7943562865257263	0.7068418860435486	0.7872421741485596	0.8001623153686523	0.7967666983604431	0.7846612334251404	0.7888013124465942	0.7917973399162292	0.7859517335891724	0.7934229373931885	0.785778284072876	0.7859363555908203	0.7771353721618652	0.7881463170051575	0.7119011878967285	0.6873254179954529	0.7048771381378174	0.7073593735694885
O3	0.7127452492713928	0.6825751066207886	0.6746483445167542	0.7117304801940918	0.6987993717193604	0.7019168138504028	0.7368664145469666	0.7071378231048584	0.6982324719429016	0.7743872404098511	0.7884736657142639	0.7682137489318848	0.7742992639541626	0.7599225044250488	0.7079584002494812	0.6940165162086487	0	0.7075414657592773	0.7170583605766296	0.7740798592567444	0.6871877312660217	0.7452332973480225	0.7830986976623535	0.788784921169281	0.6960639953613281	0.7778549194335938	0.769356906414032	0.7776935696601868	0.7806692719459534	0.7819401621818542	0.7791215777397156	0.771426796913147	0.7729843854904175	0.7666640877723694	0.797331690788269	0.7786627411842346	0.7755771279335022	0.7204084992408752	0.6944518685340881	0.6876721978187561	0.705214262008667
O4	0.7098785638809204	0.6956408619880676	0.7063156962394714	0.7028166651725769	0.7067399621009827	0.7055491209030151	0.7117235064506531	0.7268667817115784	0.6894364953041077	0.7759270071983337	0.7837350368499756	0.7694764733314514	0.7782129049301147	0.7766539454460144	0.722209632396698	0.6988517045974731	0.7075414657592773	0	0.732873260974884	0.7856916785240173	0.7011402249336243	0.739907443523407	0.7900770902633667	0.7891215085983276	0.7104668021202087	0.7840161919593811	0.7834922075271606	0.7788016796112061	0.7834958434104919	0.7788795232772827	0.7781352400779724	0.7783933281898499	0.7883796691894531	0.7700629234313965	0.7887341380119324	0.7809433937072754	0.7854741215705872	0.7082636952400208	0.7054958939552307	0.7157496213912964	0.6936782598495483
O5	0.7257424592971802	0.7158949971199036	0.7232308387756348	0.7572090625762939	0.7311052680015564	0.7224910855293274	0.750195324420929	0.7308389544487	0.7277691960334778	0.808718740940094	0.8098755478858948	0.7901385426521301	0.800096333026886	0.8121295571327209	0.711763858795166	0.744767963886261	0.7170583605766296	0.732873260974884	0	0.7910615801811218	0.6776802539825439	0.7631790637969971	0.8064478635787964	0.7985377311706543	0.7159522771835327	0.8086041808128357	0.8081843852996826	0.7988201379776001	0.8066962361335754	0.790555477142334	0.7987939715385437	0.7855600118637085	0.7941243648529053	0.8059803247451782	0.8096112608909607	0.8066847920417786	0.7984034419059753	0.7446935176849365	0.738875687122345	0.7074530720710754	0.7373530864715576
O6	0.7948654890060425	0.7862828373908997	0.7714045643806458	0.7810468077659607	0.7916707992553711	0.7779527306556702	0.7941153049468994	0.7996461391448975	0.7869415283203125	0.6953519582748413	0.6858890056610107	0.6621910929679871	0.6595622897148132	0.6717349290847778	0.7900004386901855	0.7975584864616394	0.7740798592567444	0.7856916785240173	0.7910615801811218	0	0.771535336971283	0.7970533967018127	0.6946952939033508	0.6892712116241455	0.7632580399513245	0.6711753010749817	0.6793251037597656	0.6915445923805237	0.6785982847213745	0.6633233428001404	0.6622336506843567	0.6553608179092407	0.6861761808395386	0.6463068723678589	0.7024266719818115	0.6870185136795044	0.6620039343833923	0.7800779938697815	0.7844552397727966	0.7744573354721069	0.7770561575889587
